
[[12.56019257]],
[[23.67315707]],
[[4.59290433]],
[[17.31697315]],
[[15.83894912]],
[[6.02741483]],
[[31.67988243]],
[[195475.7674512]],
[[12.69335693]],
[[22.00066853]],
[[6.59237147]],
[[10.10107114]],
[[98546.32681356]],
[[11.05267683]],
[[12.37558291]],
[[10.19079674]],
[[19.09515001]],
[[38.28562999]],
[[13.65611388]],
[[30.26208364]],
[[28.23631998]],
[[31.6760711]],
[[12.59901484]],
[[1028330.11999999]],
[[587810.45090001]],
[[18.83667642]],
[[5.47956733]],
[[26.269323]],
[[15.39469205]],
[[9.88915763]],
[[20.44533902]],
[[16.17644321]],
[[26.97698863]],
[[21.17645863]],
[[26.38461786]],
[[1.33519037]],
[[6.01700312]],
[[19.60087958]],
[[9.94068506]],
[[21.748968]],
[[24.36730866]],
[[26.27502876]],
[[21.37872675]],
[[26.35018604]],
[[19.68215339]],
[[10.60691363]],
[[10.49540715]],
[[27.38688062]],
[[15.53478886]],
[[37.15451957]],
[[26.38510036]],
[[17.20236763]],
[[21.02637949]],
[[15.25266998]],
[[6.18251968]],
[[18.05420603]],
[[10.6660985]],
[[4.85131513]],
[[4.03081051]],
[[16.37632446]],
[[16.55962289]],
[[11.50704233]],
[[14.7870189]],
[[11.38196234]],
[[31.13747206]],
[[13.76738034]],
[[393967.78899996]],
[[15.30910217]],
[[11.19229613]],
[[564480.76359999]],
[[12.37770005]],
[[1054910.73258186]],
[[18.23872661]],
[[1551090.21519999]],
[[16.42038896]],
[[19.26239]],
[[18.48663561]],
[[77817.81720165]],
[[17.07784777]],
[[37.23246123]],
[[19.40819969]],
[[22.883408]],
[[24.66597461]],
[[6.64507307]],
[[20.82317041]],
[[3.61277495]],
[[43.4898949]],
[[10.97555504]],
[[16.31394999]],
[[12.86995895]],
[[13.2674818]],
[[9.24428304]],
[[31.09939728]],
[[9.18088585]],
[[16.92954545]],
[[16.0428634]],
[[14.4578841]],
[[16.03136404]],
[[25.18264855]],
[[17.52806144]],
[[18.93321079]],
[[11.00317382]],
[[22.43589827]],
[[26.65240561]],
[[10.36574252]],
[[16.01668487]],
[[14.13588978]],
[[14.17586551]],
[[7.28506641]],
[[303089.52249998]],
[[11.30426137]],
[[16.09880163]],
[[17.65588742]],
[[17.18489518]],
[[30.08145344]],
[[19.45024824]],
[[16.68780855]],
[[22.44250736]],
[[16.42831717]],
[[63.30433044]],
[[52.83162078]],
[[24.90682324]],
[[9.10384287]],
[[33.03694999]],
[[23.11891851]],
[[28.56820325]],
[[21.33028012]],
[[15.23136105]],
[[22.85142807]],
[[18.65268871]],
[[8.64724916]],
[[16.14396141]],
[[13.17222369]],
[[63.87176257]],
[[10.33286725]],
[[13.4271293]],
[[742020.59650003]],
[[13.70155869]],
[[8.77212637]],
[[10.9219785]],
[[14.1211949]],
[[26.98646127]],
[[23.9500935]],
[[8.90133103]],
